,Dataset,level,iteration,Method,Parameters,match_ratio,overclassification_ratio,underclassification_ratio,misclassification_ratio,mismatch_level_list
137,B1-REF,1,2,rdp,0.7,1.0,0.0,0.0,0.0,"[0, 7, 0, 0, 0, 0, 0, 0]"
138,B1-REF,1,2,rdp,0.8,1.0,0.0,0.0,0.0,"[0, 7, 0, 0, 0, 0, 0, 0]"
139,B1-REF,1,2,rdp,0.9,1.0,0.0,0.0,0.0,"[0, 7, 0, 0, 0, 0, 0, 0]"
140,B1-REF,1,2,rdp,1.0,0.42857142857142855,0.0,0.5714285714285714,0.0,"[4, 3, 0, 0, 0, 0, 0, 0]"
141,B1-REF,1,2,sortmerna,0.51:0.8:1:0.8:1.0,0.0,0.5714285714285714,0.42857142857142855,0.0,"[3, 4, 0, 0, 0, 0, 0, 0]"
142,B1-REF,1,2,sortmerna,0.51:0.8:1:0.9:1.0,0.0,0.5714285714285714,0.42857142857142855,0.0,"[3, 4, 0, 0, 0, 0, 0, 0]"
143,B1-REF,1,2,sortmerna,0.51:0.8:3:0.8:1.0,0.0,0.5714285714285714,0.42857142857142855,0.0,"[3, 4, 0, 0, 0, 0, 0, 0]"
144,B1-REF,1,2,sortmerna,0.51:0.8:3:0.9:1.0,0.0,0.5714285714285714,0.42857142857142855,0.0,"[3, 4, 0, 0, 0, 0, 0, 0]"
145,B1-REF,1,2,sortmerna,0.51:0.8:5:0.8:1.0,0.0,0.5714285714285714,0.42857142857142855,0.0,"[3, 4, 0, 0, 0, 0, 0, 0]"
146,B1-REF,1,2,sortmerna,0.51:0.8:5:0.9:1.0,0.0,0.5714285714285714,0.42857142857142855,0.0,"[3, 4, 0, 0, 0, 0, 0, 0]"
147,B1-REF,1,2,sortmerna,0.51:0.9:1:0.8:1.0,0.0,0.0,1.0,0.0,"[7, 0, 0, 0, 0, 0, 0, 0]"
148,B1-REF,1,2,sortmerna,0.51:0.9:1:0.9:1.0,0.0,0.0,1.0,0.0,"[7, 0, 0, 0, 0, 0, 0, 0]"
149,B1-REF,1,2,sortmerna,0.51:0.9:3:0.8:1.0,0.0,0.0,1.0,0.0,"[7, 0, 0, 0, 0, 0, 0, 0]"
150,B1-REF,1,2,sortmerna,0.51:0.9:3:0.9:1.0,0.0,0.0,1.0,0.0,"[7, 0, 0, 0, 0, 0, 0, 0]"
151,B1-REF,1,2,sortmerna,0.51:0.9:5:0.8:1.0,0.0,0.0,1.0,0.0,"[7, 0, 0, 0, 0, 0, 0, 0]"
152,B1-REF,1,2,sortmerna,0.51:0.9:5:0.9:1.0,0.0,0.0,1.0,0.0,"[7, 0, 0, 0, 0, 0, 0, 0]"
153,B1-REF,1,2,sortmerna,0.76:0.8:1:0.8:1.0,0.0,0.5714285714285714,0.42857142857142855,0.0,"[3, 4, 0, 0, 0, 0, 0, 0]"
154,B1-REF,1,2,sortmerna,0.76:0.8:1:0.9:1.0,0.0,0.5714285714285714,0.42857142857142855,0.0,"[3, 4, 0, 0, 0, 0, 0, 0]"
155,B1-REF,1,2,sortmerna,0.76:0.8:3:0.8:1.0,0.42857142857142855,0.14285714285714285,0.42857142857142855,0.0,"[3, 4, 0, 0, 0, 0, 0, 0]"
156,B1-REF,1,2,sortmerna,0.76:0.8:3:0.9:1.0,0.42857142857142855,0.14285714285714285,0.42857142857142855,0.0,"[3, 4, 0, 0, 0, 0, 0, 0]"
157,B1-REF,1,2,sortmerna,0.76:0.8:5:0.8:1.0,0.14285714285714285,0.42857142857142855,0.42857142857142855,0.0,"[3, 4, 0, 0, 0, 0, 0, 0]"
158,B1-REF,1,2,sortmerna,0.76:0.8:5:0.9:1.0,0.14285714285714285,0.42857142857142855,0.42857142857142855,0.0,"[3, 4, 0, 0, 0, 0, 0, 0]"
159,B1-REF,1,2,sortmerna,0.76:0.9:1:0.8:1.0,0.0,0.0,1.0,0.0,"[7, 0, 0, 0, 0, 0, 0, 0]"
160,B1-REF,1,2,sortmerna,0.76:0.9:1:0.9:1.0,0.0,0.0,1.0,0.0,"[7, 0, 0, 0, 0, 0, 0, 0]"
161,B1-REF,1,2,sortmerna,0.76:0.9:3:0.8:1.0,0.0,0.0,1.0,0.0,"[7, 0, 0, 0, 0, 0, 0, 0]"
162,B1-REF,1,2,sortmerna,0.76:0.9:3:0.9:1.0,0.0,0.0,1.0,0.0,"[7, 0, 0, 0, 0, 0, 0, 0]"
163,B1-REF,1,2,sortmerna,0.76:0.9:5:0.8:1.0,0.0,0.0,1.0,0.0,"[7, 0, 0, 0, 0, 0, 0, 0]"
164,B1-REF,1,2,sortmerna,0.76:0.9:5:0.9:1.0,0.0,0.0,1.0,0.0,"[7, 0, 0, 0, 0, 0, 0, 0]"
